date,global_total_cases,global_total_deaths
2022-06-02,528004359,6322588
2022-06-03,528396585,6323975
2022-06-04,528729062,6325130
2022-06-05,530050506,6327871
2022-06-06,530266903,6328582
2022-06-07,530510684,6329357
2022-06-08,530893198,6330465
2022-06-09,531341238,6331920
2022-06-10,531758013,6333600
2022-06-11,532162916,6334659
2022-06-12,533573613,6337251
2022-06-13,533803327,6338041
2022-06-14,534045519,6338724
2022-06-15,534436058,6339769
2022-06-16,534858143,6340937
2022-06-17,535315583,6342495
2022-06-18,535725321,6343304
2022-06-19,537344034,6346086
2022-06-20,537600327,6346895
2022-06-21,537857627,6347720
2022-06-22,538268096,6348633
2022-06-23,538795369,6350090
2022-06-24,539306704,6351538
2022-06-25,539812494,6353260
2022-06-26,541935956,6356488
2022-06-27,542261974,6357548
2022-06-28,542573356,6358276
2022-06-29,543059016,6359389
2022-06-30,543680387,6360993
2022-07-01,544270646,6362488
2022-07-02,544879824,6364183
2022-07-03,547217387,6367834
2022-07-04,547852953,6368948
2022-07-05,548188713,6369770
2022-07-06,548758682,6370827
2022-07-07,549438578,6372488
2022-07-08,550122408,6374333
2022-07-09,550816329,6376224
2022-07-10,553558944,6380310
2022-07-11,554301433,6381588
2022-07-12,554723323,6382532
2022-07-13,555448547,6384009
2022-07-14,556226757,6385894
2022-07-15,556999588,6387970
2022-07-16,557794451,6390055
2022-07-17,560537087,6394965
2022-07-18,561372871,6396431
2022-07-19,561836046,6397617
2022-07-20,562568646,6399273
2022-07-21,563379671,6401487
2022-07-22,564211429,6403726
2022-07-23,565075747,6406160
2022-07-24,567710358,6411528
2022-07-25,568624505,6413384
2022-07-26,569180419,6414731
2022-07-27,569977379,6416570
2022-07-28,570808722,6418782
2022-07-29,571658368,6421019
2022-07-30,572514689,6423680
2022-07-31,574914707,6429253
2022-08-01,575709669,6430742
2022-08-02,576248893,6432076
2022-08-03,577031823,6434101
2022-08-04,577854472,6436436
2022-08-05,579079833,6438666
2022-08-06,579903658,6441345
2022-08-07,581859842,6446403
2022-08-08,582567779,6447999
2022-08-09,583103652,6449421
2022-08-10,583842676,6451349
2022-08-11,584620447,6454007
2022-08-12,585416516,6456238
2022-08-13,586167872,6458847
2022-08-14,587612228,6463710
2022-08-15,588225161,6465291
2022-08-16,588649538,6466603
2022-08-17,589337004,6468524
2022-08-18,590112282,6470774
2022-08-19,590888314,6473140
2022-08-20,591667725,6475637
2022-08-21,592998219,6479684
2022-08-22,593593903,6481190
2022-08-23,594121556,6482570
2022-08-24,594773188,6484418
2022-08-25,595482118,6486578
2022-08-26,596182247,6488846
2022-08-27,596823375,6491143
2022-08-28,597763837,6494875
2022-08-29,598415059,6496260
2022-08-30,598831619,6497542
2022-08-31,599383955,6499240
2022-09-01,599977850,6501302
2022-09-02,600564671,6503393
2022-09-03,601107385,6505638
2022-09-04,602053521,6508788
2022-09-05,602449270,6510065
2022-09-06,602805764,6511214
2022-09-07,603211861,6512401
2022-09-08,603743350,6514107
2022-09-09,604216507,6515730
2022-09-10,604567537,6517469
2022-09-11,605322804,6520187
2022-09-12,605858991,6521222
2022-09-13,606148113,6522176
2022-09-14,606598902,6523424
2022-09-15,607045011,6524953
2022-09-16,607490027,6526739
2022-09-17,607857833,6528615
2022-09-18,608718508,6530918
2022-09-19,609167630,6531735
2022-09-20,609429949,6532498
2022-09-21,609789588,6533626
2022-09-22,610125478,6535141
2022-09-23,610522753,6536577
2022-09-24,610931844,6538458
2022-09-25,611936801,6541029
2022-09-26,612205110,6541707
2022-09-27,612464193,6542484
2022-09-28,612765659,6543563
2022-09-29,613125378,6544814
2022-09-30,613487832,6546739
2022-10-01,613911443,6548349
2022-10-02,615167537,6551238
2022-10-03,615385728,6552189
2022-10-04,615572589,6553003
2022-10-05,615913594,6554062
2022-10-06,616243699,6555428
2022-10-07,616569773,6557149
2022-10-08,616946504,6558831
2022-10-09,618386102,6562427
2022-10-10,618602338,6563234
2022-10-11,618787875,6564018
2022-10-12,619111053,6565053
2022-10-13,619433612,6566311
2022-10-14,619755062,6567827
2022-10-15,620084874,6569579
2022-10-16,621561651,6573308
2022-10-17,621777602,6574073
2022-10-18,621976345,6574801
2022-10-19,622287980,6576036
2022-10-20,622571137,6577351
2022-10-21,622797285,6578172
2022-10-22,623220825,6581559
2022-10-23,624459263,6585140
2022-10-24,624634522,6585791
2022-10-25,624824596,6586444
2022-10-26,625081650,6587459
2022-10-27,625312655,6588270
2022-10-28,625787338,6592196
2022-10-29,626070249,6593433
2022-10-30,626993666,6596643
2022-10-31,627169105,6597305
2022-11-01,627376503,6597968
2022-11-02,627636895,6600111
2022-11-03,627861932,6600857
2022-11-04,628344701,6603993
2022-11-05,628601324,6605171
2022-11-06,629328237,6607807
2022-11-07,629521972,6608523
2022-11-08,629770372,6609164
2022-11-09,629960861,6609854
2022-11-10,630231817,6610653
2022-11-11,630773958,6613731
2022-11-12,631117970,6614790
2022-11-13,631817393,6617313
2022-11-14,632044291,6617970
2022-11-15,632324185,6618650
2022-11-16,632633852,6619376
2022-11-17,632908179,6620159
2022-11-18,633372105,6623122
2022-11-19,633756556,6624154
2022-11-20,634499427,6626675
2022-11-21,634750030,6627363
2022-11-22,635028315,6627982
2022-11-23,635382719,6628759
2022-11-24,635639991,6629684
2022-11-25,636145325,6633252
2022-11-26,636599096,6634327
2022-11-27,637477039,6636892
2022-11-28,637740911,6637634
2022-11-29,638046660,6638471
2022-11-30,638404921,6639354
2022-12-01,638751605,6640179
2022-12-02,639391213,6642863
2022-12-03,639726519,6644132
2022-12-04,640714046,6647030
2022-12-05,641016023,6647911
2022-12-06,641323230,6648738
2022-12-07,641710841,6649830
2022-12-08,642133713,6650946
2022-12-09,642966612,6655174
2022-12-10,643764804,6656526
2022-12-11,645329204,6659838
2022-12-12,646400170,6660885
2022-12-13,647628534,6661896
2022-12-14,649107196,6663240
2022-12-15,650671212,6664314
2022-12-16,653338277,6668573
2022-12-17,656035244,6670271
2022-12-18,660306701,6674537
2022-12-19,664671532,6675972
2022-12-20,670115678,6677387
