date,global_new_cases,global_new_cases_smoothed,global_new_deaths,global_new_deaths_smoothed
2022-02-21,1095683,1812236.21035163,6295,9840.28585504001
2022-02-22,1174004,1800854.12811573,6288,9784.85712987
2022-02-23,1332958,1769458.18156109,6981,9436.85722807001
2022-02-24,1376715,1745067.61240956,9579,9353.28575826
2022-02-25,1343055,1720290.9284068,8688,9144.14277493
2022-02-26,1253461,1694743.56681099,8462,9057.42858521
2022-02-27,3473876,1578535.98312083,13186,8496.99990472
2022-02-28,1097208,1578753.85352032,6715,8556.99989094
2022-03-01,1072761,1564290.56020977,5428,8434.14277335
2022-03-02,1246188,1551894.86162444,7325,8483.28578389
2022-03-03,1321479,1544003.99632826,6756,8080.00008861
2022-03-04,1246552,1530217.8294002,7857,7961.28577261
2022-03-05,1234687,1527535.85950942,6317,7654.85706
2022-03-06,3681296,1557167.27745935,11520,7416.85713429
2022-03-07,963726,1538098.40389017,4785,7141.14291323
2022-03-08,1190476,1554914.86723887,4669,7032.71439644
2022-03-09,1356669,1570697.86342911,5850,6822.00000739
2022-03-10,1282157,1565080.40427199,6144,6734.57151162
2022-03-11,1327288,1576614.12706397,6589,6553.42864191
2022-03-12,1539409,1620145.8664993,5652,6458.42857998
2022-03-13,4145714,1686491.29431057,10088,6253.8572709
2022-03-14,1156638,1714050.13689878,4222,6173.42846838
2022-03-15,1149739,1708230.57858435,3639,6026.28568214
2022-03-16,1616552,1745356.70347694,3902,5916.76192301001
2022-03-17,1481246,1773797.98703531,5335,5794.23806384
2022-03-18,1288007,1768186.40709751,5268,5594.64288909
2022-03-19,1432555,1752921.60250939,4910,5484.07140448
2022-03-20,4253673,1768344.36600052,8978,5314.42851576
2022-03-21,982331,1743443.40420725,3661,5226.99997624
2022-03-22,1220969,1753621.49660256,14365,6758.21425976
2022-03-23,1181867,1691523.62233081,4151,6666.85721216
2022-03-24,1113866,1639040.70394037,4344,6525.2857837
2022-03-25,1134695,1617139.0288578,4363,6395.99993689
2022-03-26,1062156,1564224.87474861,7874,6819.42848859
2022-03-27,4302355,1571177.00387031,7718,6639.42858334
2022-03-28,1015044,1575850.26098173,2787,6514.57143922
2022-03-29,992187,1543167.12525919,2800,4862.42856657
2022-03-30,970263,1512937.97826502,3657,4791.85711016
2022-03-31,918890,1485084.26972462,3645,4692.00000085
2022-04-01,889121,1450002.2848477,3936,4631.0000165
2022-04-02,783638,1410213.9835689,3290,3976.14282884
2022-04-03,3799974,1338445.27749496,6744,3836.99999779
2022-04-04,638052,1284589.30788109,2294,3766.57147274
2022-04-05,677824,1239680.29501995,2376,3705.99996783
2022-04-06,726781,1204897.13788369,2653,3562.57140263
2022-04-07,750321,1180815.86139262,2970,3466.14281866
2022-04-08,685155,1151678.83269443,3285,3373.14287515
2022-04-09,595721,1124833.72655466,2939,3322.99994838
2022-04-10,3126323,1028597.81409033,6357,3267.71427149
2022-04-11,558850,1017283.24583426,2111,3241.57142029
2022-04-12,500155,991901.9494969,1785,3157.14284152
2022-04-13,571888,969774.37934748,2362,3115.57145809
2022-04-14,463077,928739.47994837,2700,3077.00003382
2022-04-15,603429,917063.28061269,2520,2967.71431248
2022-04-16,468410,898876.00370225,2508,2906.1428637
2022-04-17,2531959,813966.84231304,5218,2743.42856784
2022-04-18,405380,792042.56996343,1739,2690.28571527
2022-04-19,331436,767939.85593902,1441,2641.14283636
2022-04-20,390164,741979.28765894,1949,2582.14285106
2022-04-21,502357,747590.70826582,2236,2515.85716264
2022-04-22,477577,729611.86273044,2400,2498.71426635
2022-04-23,403751,720374.85873106,2266,2464.14285815
2022-04-24,2192552,671888.14634677,4801,2404.57144191
2022-04-25,317833,659381.43402062,1487,2368.57141602
2022-04-26,332258,659498.85968542,2722,2551.57142166
2022-04-27,352723,654150.13722412,1583,2499.28572413
2022-04-28,428274,643566.85853926,2061,2474.28568639
2022-04-29,387235,630660.85498282,2182,2443.14286488
2022-04-30,335918,620970.42721226,1635,2353.00000889
2022-05-01,1844629,571267.1460746,4594,2323.42854538
2022-05-02,263517,563507.71269451,1403,2311.42857004
2022-05-03,245409,551100.71441262,1101,2079.85712354
2022-05-04,326698,547382.85662787,1266,2034.57142224
2022-05-05,346233,535662.71481669,1880,2008.71429271
2022-05-06,366715,532731.28885987,1930,1972.71426251
